Unnamed: 0,#,ประเภท,รายการ,สร้างโดย,ชื่อลูกค้า,รหัสลูกค้า,อีเมลลูกค้า,เบอร์โทรศัพท์ลูกค้า,ที่อยู่ลูกค้า,เลขผู้เสียภาษี,อ้างอิง,ช่องทางการขาย,วันที่ทำรายการ,ส่วนลด,รายได้จาก Platform,ค่าส่ง (ที่เรียกเก็บจากลูกค้า),มูลค่ารวมก่อนภาษี,ภาษีมูลค่าเพิ่ม,วันส่งสินค้า,Tracking No,ช่องทางจัดส่ง,ชื่อผู้รับ,เบอร์โทรศัพท์ผู้รับ,อีเมลผู้รับ,ที่อยู่/จัดส่ง,รหัสไปรษณีย์,จังหวัด,อำเภอ/เขต,ตำบล/แขวง,มูลค่า,หมายเหตุ,Tag,สถานะรายการ,คลัง/สาขา,สถานะการชำระเงิน,ใบกำกับภาษี,ช่องทางการชำระเงิน,จำนวนเงินที่ชำระ,วันที่ชำระเงิน,Payment ID,รหัสสินค้า,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,ส่วนลดต่อหน่วย,ราคารวม,ล็อต,หมวดหมู่
Website,105,ขายออก,DD651332,Admin,Ratree Nakornthai,6926,ratree.nakornthai@example.com,084690583,"108 หมู่ 15, Chiang Mai",,,Website,15/12/2024,5.0,,70,2850.0,0.0,,TH80001342,Kerry Express,Ratree Nakornthai,084690583,,"281 หมู่ 5, Chiang Mai",13754,Chiang Mai,,,2850.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,2920.0,16/12/2024,,DD015,Skin & Coat Supplement,4,750,37.5,2850.0,,Supplements
In-store,106,ขายออก,DD863711,Admin,Somkid Suksawat,3159,somkid.suksawat@example.com,093398083,"13 หมู่ 9, Bangkok",,,In-store,07/03/2025,,,70,240.0,0.0,,TH71509503,Kerry Express,Somkid Suksawat,093398083,,"500 หมู่ 4, Bangkok",31727,Bangkok,,,240.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,310.0,08/03/2025,,DD008,Chicken & Rice Wet Food,2,120,0.0,240.0,,Wet Food
In-store,107,ขายออก,DD217322,Admin,Nattacha Nakornsri,3179,nattacha.nakornsri@example.com,075476321,"623 หมู่ 4, Pathum Thani",,,In-store,10/02/2025,5.0,,70,475.0,0.0,,TH16739013,J&T Express,Nattacha Nakornsri,075476321,,"20 หมู่ 10, Pathum Thani",25379,Pathum Thani,,,475.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,545.0,11/02/2025,,DD010,Dental Chew Sticks (Small),2,250,12.5,475.0,,Treats
In-store,108,ขายออก,DD389910,Admin,Sirithorn Jaiyen,7643,sirithorn.jaiyen@example.com,071104195,"900 หมู่ 2, Bangkok",,,In-store,10/12/2024,,,100,3200.0,0.0,,TH29992066,J&T Express,Sirithorn Jaiyen,071104195,,"670 หมู่ 18, Bangkok",47804,Bangkok,,,3200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,3300.0,12/12/2024,,DD003,Premium Senior Kibble (Large Breed),2,1600,0.0,3200.0,,Dry Food
Shopee,109,ขายออก,DD157775,Admin,Nattacha Thongpai,2651,nattacha.thongpai@example.com,073790373,"113 หมู่ 15, Bangkok",,,Shopee,12/04/2025,,-50.0,50,7500.0,0.0,,TH81964784,Thailand Post,Nattacha Thongpai,073790373,,"971 หมู่ 13, Bangkok",20258,Bangkok,,,7500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,7550.0,14/04/2025,,DD017,Puppy Starter Kit,3,2500,0.0,7500.0,,Bundles
Website,110,ขายออก,DD604409,Admin,Wichaya Nakornthai,7397,wichaya.nakornthai@example.com,075835451,"630 หมู่ 13, Phuket",,,Website,26/04/2025,,,60,10000.0,0.0,,TH89394364,Kerry Express,Wichaya Nakornthai,075835451,,"710 หมู่ 17, Phuket",24472,Phuket,,,10000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,10060.0,26/04/2025,,DD017,Puppy Starter Kit,4,2500,0.0,10000.0,,Bundles
Website,111,ขายออก,DD352164,Admin,Somrak Thongsri,3839,somrak.thongsri@example.com,092877971,"313 หมู่ 4, Nakhon Ratchasima",,,Website,05/03/2025,,,60,750.0,0.0,,TH89852157,Thailand Post,Somrak Thongsri,092877971,,"838 หมู่ 9, Nakhon Ratchasima",35279,Nakhon Ratchasima,,,750.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,810.0,05/03/2025,,DD010,Dental Chew Sticks (Small),3,250,0.0,750.0,,Treats
Lazada,112,ขายออก,DD792841,Admin,Sirirat Jairai,1204,sirirat.jairai@example.com,068232212,"582 หมู่ 12, Bangkok",,,Lazada,09/05/2025,,-60.0,60,720.0,0.0,,TH10019675,Kerry Express,Sirirat Jairai,068232212,,"841 หมู่ 13, Bangkok",84603,Bangkok,,,720.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,780.0,09/05/2025,,DD012,Training Treats (Chicken),4,180,0.0,720.0,,Treats
Website,113,ขายออก,DD215359,Admin,Sirithorn Sae-tang,3539,sirithorn.sae-tang@example.com,075034464,"888 หมู่ 14, Pathum Thani",,,Website,03/03/2025,,,100,5600.0,0.0,,,Thailand Post,Sirithorn Sae-tang,075034464,,"313 หมู่ 5, Pathum Thani",24289,Pathum Thani,,,5600.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,Bank Transfer,,,,DD018,Senior Care Package,2,2800,0.0,5600.0,,Bundles
Shopee,114,ขายออก,DD405035,Admin,Wichan Jairai,1597,wichan.jairai@example.com,061450930,"289 หมู่ 17, Rayong",,,Shopee,13/01/2025,,-60.0,60,14000.0,0.0,,TH15403252,J&T Express,Wichan Jairai,061450930,,"664 หมู่ 2, Rayong",39055,Rayong,,,14000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,14060.0,15/01/2025,,DD018,Senior Care Package,5,2800,0.0,14000.0,,Bundles
Lazada,115,ขายออก,DD113140,Admin,Siriporn Ruangrit,4750,siriporn.ruangrit@example.com,076451973,"86 หมู่ 12, Udon Thani",,,Lazada,14/12/2024,,-60.0,60,350.0,0.0,,TH64856769,Kerry Express,Siriporn Ruangrit,076451973,,"344 หมู่ 15, Udon Thani",57945,Udon Thani,,,350.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,410.0,14/12/2024,,DD011,Dental Chew Sticks (Large),1,350,0.0,350.0,,Treats
In-store,116,ขายออก,DD633571,Admin,Ratchapol Thongpat,8548,ratchapol.thongpat@example.com,085475156,"680 หมู่ 17, Bangkok",,,In-store,03/05/2025,,,100,6800.0,0.0,,TH84652023,J&T Express,Ratchapol Thongpat,085475156,,"447 หมู่ 2, Bangkok",73870,Bangkok,,,6800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,6900.0,04/05/2025,,DD006,Sensitive Stomach Formula,4,1700,0.0,6800.0,,Dry Food
Lazada,117,ขายออก,DD310097,Admin,Ratchapol Ruangrit,9676,ratchapol.ruangrit@example.com,083276787,"597 หมู่ 8, Chonburi",,,Lazada,18/04/2025,,-80.0,80,6400.0,0.0,,TH44829066,J&T Express,Ratchapol Ruangrit,083276787,,"567 หมู่ 9, Chonburi",61578,Chonburi,,,6400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,6480.0,18/04/2025,,DD003,Premium Senior Kibble (Large Breed),4,1600,0.0,6400.0,,Dry Food
Distributor,118,ขายออก,DD373260,Admin,Sirirat Ruangrit,6110,sirirat.ruangrit@example.com,099468865,"520 หมู่ 5, Chiang Mai",,,Distributor,02/01/2025,,,50,1500.0,0.0,,TH73442983,Kerry Express,Sirirat Ruangrit,099468865,,"928 หมู่ 16, Chiang Mai",16530,Chiang Mai,,,1500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,1550.0,02/01/2025,,DD015,Skin & Coat Supplement,2,750,0.0,1500.0,,Supplements
Shopee,119,ขายออก,DD256222,Admin,Sirichai Thongpat,2529,sirichai.thongpat@example.com,067223754,"735 หมู่ 5, Chonburi",,,Shopee,03/03/2025,,-60.0,60,5600.0,0.0,,TH37640477,Flash Express,Sirichai Thongpat,067223754,,"537 หมู่ 3, Chonburi",64400,Chonburi,,,5600.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,5660.0,04/03/2025,,DD005,Weight Management Formula,4,1400,0.0,5600.0,,Dry Food
Lazada,120,ขายออก,DD195665,Admin,Wichan Sae-lim,1587,wichan.sae-lim@example.com,084878363,"476 หมู่ 16, Udon Thani",,,Lazada,21/02/2025,5.0,-60.0,60,1710.0,0.0,,TH92959736,Thailand Post,Wichan Sae-lim,084878363,,"277 หมู่ 1, Udon Thani",19587,Udon Thani,,,1710.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,1770.0,21/02/2025,,DD004,Grain-Free Salmon & Sweet Potato,1,1800,90.0,1710.0,,Dry Food
In-store,121,ขายออก,DD237488,Admin,Siripat Pongsuwan,7049,siripat.pongsuwan@example.com,069210710,"66 หมู่ 3, Songkhla",,,In-store,28/04/2025,,,70,1500.0,0.0,,TH54474126,Thailand Post,Siripat Pongsuwan,069210710,,"936 หมู่ 15, Songkhla",91557,Songkhla,,,1500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,1570.0,28/04/2025,,DD002,Premium Adult Kibble (All Breeds),1,1500,0.0,1500.0,,Dry Food
In-store,122,ขายออก,DD352419,Admin,Somchai Pongpanich,1948,somchai.pongpanich@example.com,089299350,"302 หมู่ 14, Bangkok",,,In-store,02/05/2025,,,100,1700.0,0.0,,TH81415950,Thailand Post,Somchai Pongpanich,089299350,,"996 หมู่ 12, Bangkok",85330,Bangkok,,,1700.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,1800.0,02/05/2025,,DD006,Sensitive Stomach Formula,1,1700,0.0,1700.0,,Dry Food
Lazada,123,ขายออก,DD692278,Admin,Nattaya Nakornthai,6661,nattaya.nakornthai@example.com,075058848,"846 หมู่ 17, Udon Thani",,,Lazada,10/04/2025,,-80.0,80,120.0,0.0,,TH29339821,Kerry Express,Nattaya Nakornthai,075058848,,"281 หมู่ 8, Udon Thani",32746,Udon Thani,,,120.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,200.0,11/04/2025,,DD007,Beef & Vegetable Wet Food,1,120,0.0,120.0,,Wet Food
Lazada,124,ขายออก,DD552891,Admin,Siripong Nakornpol,2531,siripong.nakornpol@example.com,073636722,"787 หมู่ 15, Nakhon Ratchasima",,,Lazada,12/02/2025,15.0,-50.0,50,1360.0,0.0,,,Thailand Post,Siripong Nakornpol,073636722,,"398 หมู่ 6, Nakhon Ratchasima",31778,Nakhon Ratchasima,,,1360.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,COD,,,,DD014,Hip & Joint Supplement,2,800,120.0,1360.0,,Supplements
Website,125,ขายออก,DD591450,Admin,Ratchada Jairak,8804,ratchada.jairak@example.com,074011786,"622 หมู่ 9, Bangkok",,,Website,16/01/2025,,,80,1800.0,0.0,,TH18552442,J&T Express,Ratchada Jairak,074011786,,"632 หมู่ 16, Bangkok",21240,Bangkok,,,1800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,1880.0,16/01/2025,,DD004,Grain-Free Salmon & Sweet Potato,1,1800,0.0,1800.0,,Dry Food
Lazada,126,ขายออก,DD172692,Admin,Sirithorn Jaiyen,1727,sirithorn.jaiyen@example.com,067336356,"480 หมู่ 1, Khon Kaen",,,Lazada,17/01/2025,,-50.0,50,10000.0,0.0,,TH65620931,Thailand Post,Sirithorn Jaiyen,067336356,,"8 หมู่ 13, Khon Kaen",26288,Khon Kaen,,,10000.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Bank Transfer,,,,DD017,Puppy Starter Kit,4,2500,0.0,10000.0,,Bundles
Website,127,ขายออก,DD573620,Admin,Nattanicha Nakornpol,9770,nattanicha.nakornpol@example.com,074273523,"854 หมู่ 12, Phuket",,,Website,11/02/2025,10.0,,80,2700.0,0.0,,TH74999068,Thailand Post,Nattanicha Nakornpol,074273523,,"194 หมู่ 2, Phuket",24567,Phuket,,,2700.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,2780.0,12/02/2025,,DD015,Skin & Coat Supplement,4,750,75.0,2700.0,,Supplements
Lazada,128,ขายออก,DD664871,Admin,Somjai Jaipak,9333,somjai.jaipak@example.com,064021372,"291 หมู่ 16, Chonburi",,,Lazada,15/02/2025,,-100.0,100,130.0,0.0,,TH65685560,Flash Express,Somjai Jaipak,064021372,,"749 หมู่ 17, Chonburi",14378,Chonburi,,,130.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,230.0,17/02/2025,,DD009,Lamb & Pea Wet Food,1,130,0.0,130.0,,Wet Food
Lazada,129,ขายออก,DD393481,Admin,Somkid Jaidee,1855,somkid.jaidee@example.com,099222502,"789 หมู่ 19, Nakhon Ratchasima",,,Lazada,06/04/2025,,-50.0,50,1700.0,0.0,,TH27962327,Flash Express,Somkid Jaidee,099222502,,"571 หมู่ 7, Nakhon Ratchasima",27087,Nakhon Ratchasima,,,1700.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Credit Card,,,,DD006,Sensitive Stomach Formula,1,1700,0.0,1700.0,,Dry Food
Website,130,ขายออก,DD947467,Admin,Sirichai Pongsuwan,7588,sirichai.pongsuwan@example.com,066557805,"240 หมู่ 1, Bangkok",,,Website,27/12/2024,,,100,600.0,0.0,,TH73105980,Flash Express,Sirichai Pongsuwan,066557805,,"301 หมู่ 7, Bangkok",54199,Bangkok,,,600.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Prompt Pay,,,,DD007,Beef & Vegetable Wet Food,5,120,0.0,600.0,,Wet Food
Website,131,ขายออก,DD880926,Admin,Sirirat Nakornpat,1331,sirirat.nakornpat@example.com,076181377,"378 หมู่ 19, Songkhla",,,Website,24/11/2024,5.0,,80,3800.0,0.0,,TH21044590,J&T Express,Sirirat Nakornpat,076181377,,"655 หมู่ 9, Songkhla",13744,Songkhla,,,3800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,3880.0,24/11/2024,,DD014,Hip & Joint Supplement,5,800,40.0,3800.0,,Supplements
Lazada,132,ขายออก,DD880741,Admin,Somsak Pongsuwan,5008,somsak.pongsuwan@example.com,069494630,"268 หมู่ 3, Udon Thani",,,Lazada,02/05/2025,,-60.0,60,7500.0,0.0,,TH26938661,Thailand Post,Somsak Pongsuwan,069494630,,"235 หมู่ 1, Udon Thani",29539,Udon Thani,,,7500.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Credit Card,,,,DD002,Premium Adult Kibble (All Breeds),5,1500,0.0,7500.0,,Dry Food
In-store,133,ขายออก,DD572501,Admin,Ratree Jairak,4259,ratree.jairak@example.com,082361303,"364 หมู่ 2, Songkhla",,,In-store,10/01/2025,10.0,,50,360.0,0.0,,TH74916908,Thailand Post,Ratree Jairak,082361303,,"800 หมู่ 3, Songkhla",20516,Songkhla,,,360.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,410.0,11/01/2025,,DD013,Peanut Butter Biscuits,2,200,20.0,360.0,,Treats
Shopee,134,ขายออก,DD863799,Admin,Nattawut Thongpat,3606,nattawut.thongpat@example.com,071328821,"148 หมู่ 19, Nonthaburi",,,Shopee,21/04/2025,,-100.0,100,180.0,0.0,,TH99079814,J&T Express,Nattawut Thongpat,071328821,,"669 หมู่ 10, Nonthaburi",95920,Nonthaburi,,,180.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,280.0,21/04/2025,,DD012,Training Treats (Chicken),1,180,0.0,180.0,,Treats
In-store,135,ขายออก,DD494145,Admin,Wichaya Pongsuwan,7980,wichaya.pongsuwan@example.com,066752613,"926 หมู่ 3, Udon Thani",,,In-store,11/04/2025,,,80,4800.0,0.0,,TH80873920,Thailand Post,Wichaya Pongsuwan,066752613,,"75 หมู่ 13, Udon Thani",89239,Udon Thani,,,4800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,4880.0,11/04/2025,,DD003,Premium Senior Kibble (Large Breed),3,1600,0.0,4800.0,,Dry Food
Shopee,136,ขายออก,DD839452,Admin,Somjai Nakornthai,3416,somjai.nakornthai@example.com,061782877,"797 หมู่ 13, Bangkok",,,Shopee,20/11/2024,,-80.0,80,2400.0,0.0,,TH32576162,Thailand Post,Somjai Nakornthai,061782877,,"59 หมู่ 15, Bangkok",12169,Bangkok,,,2400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,2480.0,20/11/2024,,DD014,Hip & Joint Supplement,3,800,0.0,2400.0,,Supplements
Lazada,137,ขายออก,DD962881,Admin,Siripong Sae-tang,8730,siripong.sae-tang@example.com,068736484,"762 หมู่ 17, Chonburi",,,Lazada,22/03/2025,15.0,-60.0,60,10625.0,0.0,,TH22633010,Thailand Post,Siripong Sae-tang,068736484,,"341 หมู่ 14, Chonburi",11932,Chonburi,,,10625.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,10685.0,22/03/2025,,DD017,Puppy Starter Kit,5,2500,375.0,10625.0,,Bundles
Website,138,ขายออก,DD662060,Admin,Somporn Suksawat,3151,somporn.suksawat@example.com,095093886,"214 หมู่ 19, Bangkok",,,Website,23/03/2025,15.0,,70,765.0,0.0,,TH14889084,Flash Express,Somporn Suksawat,095093886,,"165 หมู่ 7, Bangkok",65778,Bangkok,,,765.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,835.0,24/03/2025,,DD012,Training Treats (Chicken),5,180,27.0,765.0,,Treats
Lazada,139,ขายออก,DD512811,Admin,Ratchaphon Nakornpol,1557,ratchaphon.nakornpol@example.com,087289249,"524 หมู่ 6, Nonthaburi",,,Lazada,09/02/2025,5.0,-100.0,100,456.0,0.0,,TH87620710,J&T Express,Ratchaphon Nakornpol,087289249,,"529 หมู่ 19, Nonthaburi",11708,Nonthaburi,,,456.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,556.0,09/02/2025,,DD008,Chicken & Rice Wet Food,4,120,6.0,456.0,,Wet Food
Website,140,ขายออก,DD521280,Admin,Ratchanee Ruangrit,4536,ratchanee.ruangrit@example.com,088156406,"691 หมู่ 14, Phuket",,,Website,12/04/2025,,,50,2400.0,0.0,,TH61562394,Thailand Post,Ratchanee Ruangrit,088156406,,"731 หมู่ 18, Phuket",82805,Phuket,,,2400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,2450.0,13/04/2025,,DD016,Multivitamin Chews,4,600,0.0,2400.0,,Supplements
Lazada,141,ขายออก,DD202239,Admin,Ratchapol Pongsakorn,8661,ratchapol.pongsakorn@example.com,098085904,"701 หมู่ 16, Songkhla",,,Lazada,16/02/2025,5.0,-100.0,100,2850.0,0.0,,TH35974082,Thailand Post,Ratchapol Pongsakorn,098085904,,"114 หมู่ 11, Songkhla",25072,Songkhla,,,2850.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,2950.0,18/02/2025,,DD015,Skin & Coat Supplement,4,750,37.5,2850.0,,Supplements
Distributor,142,ขายออก,DD158653,Admin,Sirithorn Nakornthap,9733,sirithorn.nakornthap@example.com,096910184,"647 หมู่ 3, Chiang Mai",,,Distributor,22/01/2025,,,60,500.0,0.0,,TH66483185,J&T Express,Sirithorn Nakornthap,096910184,,"65 หมู่ 4, Chiang Mai",59847,Chiang Mai,,,500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,560.0,24/01/2025,,DD010,Dental Chew Sticks (Small),2,250,0.0,500.0,,Treats
In-store,143,ขายออก,DD731040,Admin,Nattaya Pongpanich,4655,nattaya.pongpanich@example.com,067932667,"771 หมู่ 14, Songkhla",,,In-store,11/12/2024,,,80,1400.0,0.0,,TH91079560,Kerry Express,Nattaya Pongpanich,067932667,,"188 หมู่ 13, Songkhla",21390,Songkhla,,,1400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,1480.0,13/12/2024,,DD005,Weight Management Formula,1,1400,0.0,1400.0,,Dry Food
Shopee,144,ขายออก,DD337199,Admin,Siriwan Srisuk,3951,siriwan.srisuk@example.com,093681206,"215 หมู่ 14, Udon Thani",,,Shopee,08/05/2025,15.0,-80.0,80,6375.0,0.0,,TH55545655,Thailand Post,Siriwan Srisuk,093681206,,"632 หมู่ 7, Udon Thani",66699,Udon Thani,,,6375.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,6455.0,10/05/2025,,DD002,Premium Adult Kibble (All Breeds),5,1500,225.0,6375.0,,Dry Food
Shopee,145,ขายออก,DD378710,Admin,Rattana Pongpat,7555,rattana.pongpat@example.com,069843026,"878 หมู่ 15, Songkhla",,,Shopee,08/01/2025,,-80.0,80,120.0,0.0,,TH48362595,J&T Express,Rattana Pongpat,069843026,,"22 หมู่ 4, Songkhla",40750,Songkhla,,,120.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,200.0,09/01/2025,,DD007,Beef & Vegetable Wet Food,1,120,0.0,120.0,,Wet Food
Lazada,146,ขายออก,DD670442,Admin,Ratree Nakorn,2809,ratree.nakorn@example.com,075363089,"96 หมู่ 6, Nakhon Ratchasima",,,Lazada,14/01/2025,,-50.0,50,240.0,0.0,,TH48647224,Thailand Post,Ratree Nakorn,075363089,,"209 หมู่ 18, Nakhon Ratchasima",58766,Nakhon Ratchasima,,,240.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,290.0,14/01/2025,,DD008,Chicken & Rice Wet Food,2,120,0.0,240.0,,Wet Food
In-store,147,ขายออก,DD884282,Admin,Wichuda Thongsuk,3224,wichuda.thongsuk@example.com,084689024,"198 หมู่ 16, Bangkok",,,In-store,24/11/2024,15.0,,70,552.5,0.0,,TH14079441,Thailand Post,Wichuda Thongsuk,084689024,,"568 หมู่ 12, Bangkok",63384,Bangkok,,,552.5,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,622.5,26/11/2024,,DD009,Lamb & Pea Wet Food,5,130,19.5,552.5,,Wet Food
Lazada,148,ขายออก,DD958286,Admin,Wichan Thongsri,6904,wichan.thongsri@example.com,063076475,"452 หมู่ 15, Songkhla",,,Lazada,14/05/2025,,-50.0,50,1400.0,0.0,,TH53531276,Flash Express,Wichan Thongsri,063076475,,"793 หมู่ 9, Songkhla",33478,Songkhla,,,1400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,1450.0,16/05/2025,,DD005,Weight Management Formula,1,1400,0.0,1400.0,,Dry Food
In-store,149,ขายออก,DD567835,Admin,Wichuda Nakornpat,5424,wichuda.nakornpat@example.com,097526925,"166 หมู่ 11, Pathum Thani",,,In-store,07/12/2024,,,80,900.0,0.0,,TH99418468,Flash Express,Wichuda Nakornpat,097526925,,"822 หมู่ 1, Pathum Thani",64120,Pathum Thani,,,900.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,980.0,07/12/2024,,DD012,Training Treats (Chicken),5,180,0.0,900.0,,Treats
Lazada,150,ขายออก,DD345739,Admin,Nattapong Jairai,2548,nattapong.jairai@example.com,094110691,"313 หมู่ 17, Pathum Thani",,,Lazada,24/02/2025,,-80.0,80,1000.0,0.0,,TH60316725,Flash Express,Nattapong Jairai,094110691,,"118 หมู่ 10, Pathum Thani",72491,Pathum Thani,,,1000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,1080.0,26/02/2025,,DD013,Peanut Butter Biscuits,5,200,0.0,1000.0,,Treats
Distributor,151,ขายออก,DD855728,Admin,Nattaya Jairai,4259,nattaya.jairai@example.com,071737954,"858 หมู่ 6, Chonburi",,,Distributor,08/01/2025,,,50,900.0,0.0,,TH36227228,Thailand Post,Nattaya Jairai,071737954,,"833 หมู่ 16, Chonburi",61813,Chonburi,,,900.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,950.0,09/01/2025,,DD012,Training Treats (Chicken),5,180,0.0,900.0,,Treats
Lazada,152,ขายออก,DD392575,Admin,Wichaya Thongpai,7155,wichaya.thongpai@example.com,069811940,"528 หมู่ 16, Chiang Mai",,,Lazada,10/05/2025,15.0,-80.0,80,8500.0,0.0,,TH87139897,Thailand Post,Wichaya Thongpai,069811940,,"555 หมู่ 4, Chiang Mai",30447,Chiang Mai,,,8500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,8580.0,11/05/2025,,DD017,Puppy Starter Kit,4,2500,375.0,8500.0,,Bundles
Shopee,153,ขายออก,DD373452,Admin,Nattawut Pongpanich,6345,nattawut.pongpanich@example.com,063911190,"412 หมู่ 13, Pathum Thani",,,Shopee,31/03/2025,,-50.0,50,5400.0,0.0,,TH23721794,Flash Express,Nattawut Pongpanich,063911190,,"79 หมู่ 12, Pathum Thani",89303,Pathum Thani,,,5400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,5450.0,01/04/2025,,DD004,Grain-Free Salmon & Sweet Potato,3,1800,0.0,5400.0,,Dry Food
Shopee,154,ขายออก,DD411573,Admin,Ratchanee Jaidee,8468,ratchanee.jaidee@example.com,071257354,"339 หมู่ 11, Rayong",,,Shopee,20/11/2024,,-60.0,60,120.0,0.0,,TH45790315,Thailand Post,Ratchanee Jaidee,071257354,,"461 หมู่ 8, Rayong",65835,Rayong,,,120.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,180.0,21/11/2024,,DD008,Chicken & Rice Wet Food,1,120,0.0,120.0,,Wet Food
Lazada,155,ขายออก,DD350541,Admin,Somchai Jairai,3295,somchai.jairai@example.com,076318331,"566 หมู่ 1, Khon Kaen",,,Lazada,28/02/2025,,-80.0,80,7200.0,0.0,,TH43679364,J&T Express,Somchai Jairai,076318331,,"946 หมู่ 6, Khon Kaen",90360,Khon Kaen,,,7200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,7280.0,02/03/2025,,DD004,Grain-Free Salmon & Sweet Potato,4,1800,0.0,7200.0,,Dry Food
Lazada,156,ขายออก,DD458402,Admin,Somrak Ruangrit,5958,somrak.ruangrit@example.com,073664749,"668 หมู่ 12, Phuket",,,Lazada,20/04/2025,15.0,-50.0,50,6375.0,0.0,,TH90440554,J&T Express,Somrak Ruangrit,073664749,,"582 หมู่ 9, Phuket",77293,Phuket,,,6375.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,6425.0,22/04/2025,,DD002,Premium Adult Kibble (All Breeds),5,1500,225.0,6375.0,,Dry Food
Lazada,157,ขายออก,DD458710,Admin,Wichan Pongthep,4642,wichan.pongthep@example.com,089298852,"125 หมู่ 2, Phuket",,,Lazada,02/12/2024,,-80.0,80,5400.0,0.0,,TH70945797,J&T Express,Wichan Pongthep,089298852,,"273 หมู่ 11, Phuket",48870,Phuket,,,5400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,5480.0,02/12/2024,,DD004,Grain-Free Salmon & Sweet Potato,3,1800,0.0,5400.0,,Dry Food
